objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Escape from the Aliens in Outer Space","82168","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","132506632","6.45347","6.90985","1.9756","1436","9568","thing","Escape from the Aliens in Outer Space","2","8","45","45","20","2015","4,5,6,7,8","6","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Santa Ragione","English","2015","English Print & Play edition"
"Escape Room in a Box: Flashback","279911","6","1","0","0","0","0","0","0","1","0","0","1","","Trashed","","","","73252857","5.66459","7.09926","2","7092","692","thing","Escape Room in a Box: Flashback","2","8","90","90","30","2019","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape Room in a Box: The Werewolf Experiment","188720","6","0","0","0","0","0","0","0","1","0","0","1","","Trashed","","","","73604184","5.84275","6.98694","2.25","4346","1467","thing","Escape Room in a Box: The Werewolf Experiment","2","8","90","90","30","2016","2,3,4,5,6","4","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape Room: The Game – Family Edition: The Jungle","311541","2","3","0","0","0","0","0","0","1","0","0","3","","Given to James","","","","74026910","5.52484","6.15379","2","17882","318","thing","Escape Room: The Game – Family Edition: The Jungle","3","5","60","60","60","2018","1,2,3,4","3","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape Tales: Children of Wyrmwoods","299800","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","132573514","5.84819","7.01808","2.5263","4295","2607","thing","Escape Tales: Children of Wyrmwoods","1","4","450","450","450","2020","1,2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape Tales: Low Memory","282291","5","2","0","1","1","0","0","0","0","0","0","2","","Traded for with ""The Cursed Dollhouse""","","","","71114544","5.83446","6.61421","2.5","4430","3054","thing","Escape Tales: Low Memory","1","4","540","540","360","2019","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape Tales: The Awakening","253214","5","5","0","0","0","0","0","0","1","0","0","3","","Sold to Scott Yost for $15","","","","70344134","6.31448","6.99574","2.129","1810","5657","thing","Escape Tales: The Awakening","1","4","360","360","180","2018","1,2,3","2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape the Room: The Cursed Dollhouse","311686","6","0","0","0","0","0","0","0","1","0","0","1","","Traded for ""Escape Tales: Low Memory""","","","","75137456","5.57249","6.17237","4","11111","666","thing","Escape the Room: The Cursed Dollhouse","1","4","120","120","120","2020","1,2","2","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Etherfields","280794","7","1","0","0","0","0","0","0","0","0","1","5","","","","","","79632712","6.87166","7.84002","3.5874","653","13038","thing","Etherfields","1","4","180","180","90","2020","1,2,3","2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Euphoria: Build a Better Dystopia","133848","6","0","0","1","0","0","0","0","0","0","0","1","","","","","","44358159","6.8501","7.16322","3.112","688","15477","thing","Euphoria: Build a Better Dystopia","2","6","60","60","60","2013","2,3,4,5,6","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Everdell","199792","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","130922303","7.80749","7.98166","2.8338","42","105100","thing","Everdell","1","4","80","80","40","2018","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Evolution","155703","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","38606309","6.78152","7.00324","2.4288","777","25141","thing","Evolution","2","6","60","60","60","2014","2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Evolution: Climate","182134","6","0","0","0","0","0","0","0","0","0","0","1","","","","","","47622935","6.9697","7.44324","2.7354","533","14218","thing","Evolution: Climate","2","6","60","60","60","2016","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Ex Libris","201825","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","144244091","6.674","7.11028","2.5312","959","11203","thing","Ex Libris","1","4","45","45","45","2017","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Abandoned Cabin","203420","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","59521085","7.07634","7.40357","2.5377","412","17782","thing","EXIT: The Game – The Abandoned Cabin","1","6","120","120","60","2016","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Mysterious Museum","244918","0","1","0","0","0","0","0","0","1","0","0","3","","","","","","70821693","6.35868","7.07823","2.1304","1684","5519","thing","EXIT: The Game – The Mysterious Museum","1","4","90","90","45","2018","1,2,3","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Pharaoh's Tomb","203416","0","0","0","0","0","0","0","0","1","0","0","1","","","","","","71130490","6.72078","7.1297","2.7273","873","12704","thing","EXIT: The Game – The Pharaoh's Tomb","1","6","90","90","45","2016","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Secret Lab","203417","8","1","0","0","0","0","0","0","0","0","0","3","","","","","","56472223","6.66403","7.04207","2.5217","974","12732","thing","EXIT: The Game – The Secret Lab","1","6","150","150","45","2016","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Stormy Flight","283797","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137045620","5.99863","6.79946","1.913","3183","3417","thing","EXIT: The Game – The Stormy Flight","1","4","120","120","60","2019","1,2,3","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Exploding Kittens","172225","6","0","0","1","0","0","0","0","1","0","0","3","","","","","","66276287","5.8867","6.0695","1.0807","3971","93074","thing","Exploding Kittens","2","5","15","15","15","2015","3,4,5","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Fairy Tale Files: Sweet Witch Inferno","359369","4","1","0","0","0","0","0","0","1","0","0","1","","","","","","123691059","0","7.125","0","0","17","thing","The Fairy Tale Files: Sweet Witch Inferno","1","4","120","120","60","2021","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Fairy Tale Files: The Cinderella Murders","321023","4","1","0","0","0","0","0","0","1","0","0","3","","","","","","123691045","0","7.23","0","0","20","thing","The Fairy Tale Files: The Cinderella Murders","1","4","120","120","60","2022","","","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Fairy Tale Files: The Curious Case of the Poisoned Apples","321091","4","1","0","0","0","0","0","0","1","0","0","1","","Sold to Marti Moose","","","","123691057","0","6.26","0","0","15","thing","The Fairy Tale Files: The Curious Case of the Poisoned Apples","1","4","120","120","60","2021","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Fairy Tale Files: Who Framed Mr. Wolfe?","406145","4","1","0","0","0","0","0","0","1","0","0","1","","Sold to Marti Moose","","","","123691062","0","5.16667","0","0","8","thing","The Fairy Tale Files: Who Framed Mr. Wolfe?","1","4","120","120","60","2021","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"A Fake Artist Goes to New York","135779","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","125947461","6.79709","7.10474","1.0978","757","20540","thing","A Fake Artist Goes to New York","5","10","20","20","20","2011","5,6,7,8,9,10","6,7","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fallout Shelter: The Board Game","293889","7","3","0","1","0","0","0","0","0","0","0","3","","","","","","77358634","6.54071","7.2215","2.0278","1219","7850","thing","Fallout Shelter: The Board Game","2","4","90","90","60","2020","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Family Secrets Series","321071","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","109827566","0","6.625","3","0","55","thing","Family Secrets Series","1","4","120","120","50","2020","","","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Fei Xing Qi","14538","5","0","0","1","0","0","0","0","1","0","0","1","","","","","","56643651","5.44504","4.57154","1.5","30089","138","thing","Fei Xing Qi","2","4","90","90","90","0","2,4","4","3+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fight 5","448488","0","0","0","0","0","0","0","0","1","0","0","3","","Little Shop of Magic Mystery Bag Dice Tower West 2026 - Given to Jaime","","","","143628799","5.53442","6.32897","1","15640","365","thing","Fight 5","2","5","15","15","10","2025","3,4,5","4","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Filthy Rich","441","6","0","3","1","0","0","0","0","0","0","0","1","","","","","","3493759","5.718","6.40897","1.9014","5945","1135","thing","Filthy Rich","2","5","60","60","60","1998","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Final Girl","277659","6","2","0","0","0","0","0","0","0","0","0","5","","","","","","126953574","7.60746","8.22425","2.7553","97","28036","thing","Final Girl","1","1","60","60","20","2021","1","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Final Girl: Into the Void","354775","0","0","0","0","0","1","0","1","0","0","0","5","","","","","","126946304","6.42614","8.44856","2.9615","0","8130","thing","Final Girl: Into the Void","1","1","60","60","20","2023","1","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Final Girl: Panic at Station 2891","354776","0","0","0","0","0","1","0","0","0","0","0","3","","","","","","126946297","6.32826","8.35809","2.9474","0","7801","thing","Final Girl: Panic at Station 2891","1","1","60","60","20","2023","1","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Final Girl: The Happy Trails Horror","307683","0","0","0","0","0","1","0","1","0","0","0","4","","","","","","126946333","7.0028","8.20987","2.4603","0","15740","thing","Final Girl: The Happy Trails Horror","1","1","60","60","20","2021","1","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Fireball Island: The Curse of Vul-Kar","233020","6","0","0","1","0","0","0","0","0","0","0","1","","","","","","56643639","6.33831","6.72052","1.4561","1740","14129","thing","Fireball Island: The Curse of Vul-Kar","2","4","60","60","45","2018","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Firefly: The Game","138161","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","59520251","6.98343","7.38165","2.956","523","24015","thing","Firefly: The Game","1","4","240","240","120","2013","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
